Client,Source,Date,Review,Positive Category,Positive Subcategory,Negative Category,Negative Subcategory
MOLLY MAID,Yelp,"Jan 20, 2025",Realistically just bad service honestly. Not a good cleaning service. At first I thought giving another chance but realistically they are a professional service and charging top dollar it should have been done right the first time! Stay away!,,,professionalism/service;value/price,unprofessional behavior;overpriced
MOLLY MAID,Yelp,"Dec 24, 2024","I had scheduled an appointment for the service on dec 23, 2024 at 8:30-12:00. @12:10 and no staff show up at my place so I called the office to see what's going on and to found out that the staffs won't be able to come to my place for another 45 mins. So I wasn't happy having to waste half of my day to wait and no courtesy call to info that their staffs are coming late. It's ridiculous that if they come and you not home they charge you $100 and when they come late they don't even give you a call. Very unhappy of what happened today, they are very unprofessional.",,,professionalism/service;efficiency/speed,unprofessional behavior;lack of responsiveness;late arrival
MOLLY MAID,Yelp,"Oct 29, 2024","I've regularly used Molly Maid in the past with generally acceptable results, despite occasional minor oversights, like not cleaning behind doors. Recently, however, I hired them for a move-out cleaning, and the experience was extremely disappointing.Today, I received an alarming and unprofessional call from one of their team members, accusing me of having ""chemicals"" on my countertops. She claimed there was ""fuming"" and smoke, which was allegedly making the staff feel unwell. When I asked what type of chemical she was referencing, she responded in a confrontational, almost aggressive manner, which was unsettling and unhelpful. The conversation escalated to the point where I felt compelled to escalate the issue to the manager, as the employee was agitated and unable to keep her composure.Neither my husband nor I have used any chemicals that could trigger this kind of reaction, so the unexpected call caused me to miss an important meeting, and my husband rushed home, fearing it was a genuine emergency.Additionally, upon the cleaners' arrival, they openly complained about the workload. Although this was a move-out cleaning, only two staff members were sent, whereas our regular cleanings typically require a team of four. This raised serious concerns about the level of service we could expect.While the manager was polite when I later called to express my concerns, the initial call was handled in an accusatory and unnecessarily confrontational manner. Not only was I blamed for something unsubstantiated, but I was left feeling unsettled, especially as we have children at home and consistently practice safe cleaning. Simple steps, like opening windows or wearing masks, could have mitigated any perceived issues, yet the staff took none of these precautions.This has been the most disruptive and disappointing experience I've had with Molly Maid. I would not use their services again, nor would I recommend them to you or anyone else.After returning home to check the work, the master bathroom, shower door was not cleaned. The house was not cleaned to normal standards, and they had said that they were going to send a quality person out, that obviously was not done. I didn't have very high hopes for this, considering they had terrible customer service earlier today. However, it ended up trickling down into a quality issue.They also scratched my appliances, leaving marks as if they used steel wool to clean, and you can see it here in the attached pictures. I called to escalate this to ownership and management, but I have still not received a call back. The purpose was to get my money back from my deposit for my move-out; this was supposed to help me. Now I am concerned I will not be getting the money back and will be now charged for the damaged appliances.",,,quality of cleaning;professionalism/service;efficiency/speed;specific issues,missed spots;poor attention to detail;unprofessional behavior;poor communication;slow service;damage to property;issues with specific areas of the house
MOLLY MAID,Yelp,"Oct 21, 2024","I have been enjoying their service since the Pandamic and My Team #10, Gloria and Raquel really deserves a appraise.  They are prompt, very friendly and goes above and beyond.  They are also very friendly with my dog and my dog is so excited to see them.  The office is always accomodating and helpful.   At age 75, it is so nice to have trust worthy, friendly, people that can come and help me keep my house clean.   I highly recommend Molly Maid of S. Silicon Valley.  I also like doing business with this company because I know that their workers are covered for things like Workmen's Comp.  If I hire a private person to clean my house, I might become liable if that person hurt themselves.  Mary M from Sunnyvale",professionalism/service;trustworthiness,friendliness;customer service;reliability,,
MOLLY MAID,Yelp,"Oct 3, 2024","Sylvia and Marie came to my home to do a thorough cleaning, through out th entire home after reconstruction. They did a fantastic job, and were great value for the cost.I highly recommend this professional cleaning service.",quality of cleaning;professionalism/service;value/price,thoroughness;good value for money;friendliness,,
MOLLY MAID,Yelp,"Sep 30, 2024","I hired them for regular cleaning.  I was not happy that I spent $270 (tips included) and still had to spend the weekend vacuuming the house and sanitizing bathrooms.  I found dust balls on the floor, mold starting to grow in the upper rim of the toilet, and orange film starting to form in the shower in several places.  Prior to hiring them, I did all of the cleaning myself so I know for sure these things simply don't happen less than a week after a cleaning.  It's completely unacceptable.  All in all, they were in and out in less than an hour.  Go figure.",,,quality of cleaning;efficiency/speed;value/price,missed spots;inconsistent cleaning;poor attention to detail;slow service;overpriced
MOLLY MAID,Yelp,"Aug 6, 2024","Molly Maid Review:   I have used the services of Mollly Maid for years and am pleased with the work that they do for me monthly.  They come regularly at the same time and date  and I can count on them in planning my schedule.     The company is very accommodating when I need to change the schedule and a replacement team is sent at my request, which I have done periodically when there is a conflict on the expected date.  Team 12 is my regular team. They and the replacement teams do a good job for us.    To vacuum, clean the baths and kitchen and dust are what we mainly request The maids  are very pleasant and efficient and I feel comfortable with having them take the responsibility of closing and locking up when they are done.  They are respectful of our home.  It is a treat to return to a clean and neat home after the maids leave.     Thank you, Molly Maids. Mary Zarantonello",quality of cleaning;professionalism/service;efficiency/speed;trustworthiness,thoroughness;customer service;efficient work;reliability;cleanliness,,
MOLLY MAID,Yelp,"Jul 24, 2024","They are trrrrrrrible and very poor, unkind,  unprofessional staff and management. I wouldn't use them again. Be careful and you must comply to the cleaners rules in your home, not yours.",,,professionalism/service,unprofessional behavior
MOLLY MAID,Yelp,"Jul 8, 2024",They quoted me $262.50 for 3 people for one hour and they were to come in the morning.They came with 2 people and wanted to charge me approximately  $393. for a little over 2 hours but I only wanted one hour of service.  I called back to let them know we only wanted one hour. They came later than expected.They left a sizable spot on the floor where it is easily seeable.  Not happy with them at all.,,,value/price;efficiency/speed;quality of cleaning,overpriced;late arrival;missed spots
MOLLY MAID,Yelp,"May 29, 2024","Our home is so clean with Molly Maids coming.  Jennie and Maria are very thorough, and the service is a great value.  They even cleaned the window after the baby hummingbirds left--above and beyond!",quality of cleaning;value/price,thoroughness;good value for money,,
